SampleDate;Copenhagen;Aarhus;Gentofte;Rudersdal
08-02-2021;54;8;7;3
09-02-2021;66;10;6;8
10-02-2021;56;11;6;4
11-02-2021;58;13;7;4
12-02-2021;43;5;9;13
13-02-2021;52;11;6;2
14-02-2021;49;4;5;3
15-02-2021;66;11;4;6
16-02-2021;66;17;1;4
17-02-2021;68;18;4;2
18-02-2021;47;26;3;1
19-02-2021;73;11;7;5
20-02-2021;63;16;3;3
21-02-2021;46;22;7;5
22-02-2021;64;18;5;2
23-02-2021;95;18;7;2
24-02-2021;82;23;7;7
25-02-2021;78;10;17;5
26-02-2021;89;13;8;1
27-02-2021;64;13;5;5
28-02-2021;92;16;7;1
01-03-2021;110;22;9;7
02-03-2021;96;17;6;3
03-03-2021;71;15;6;2
04-03-2021;84;11;7;3
05-03-2021;81;11;2;0
06-03-2021;75;9;4;2
07-03-2021;69;16;1;0
08-03-2021;76;18;1;1
09-03-2021;82;27;4;3
10-03-2021;61;19;5;4
11-03-2021;82;15;2;3
12-03-2021;78;22;5;2
13-03-2021;56;20;2;1
14-03-2021;69;16;4;3
15-03-2021;89;24;4;4
16-03-2021;108;23;2;5
17-03-2021;78;26;2;3
18-03-2021;102;13;6;3
19-03-2021;112;16;4;2
20-03-2021;99;18;3;7
21-03-2021;113;18;5;2
22-03-2021;108;22;10;5
23-03-2021;137;43;4;6
24-03-2021;141;36;4;5
25-03-2021;116;33;8;2
26-03-2021;126;12;4;5
27-03-2021;118;28;9;7
28-03-2021;108;22;4;3
29-03-2021;151;26;6;8
30-03-2021;144;35;7;7
31-03-2021;135;31;8;5
01-04-2021;111;46;11;5
02-04-2021;90;33;7;9
03-04-2021;90;41;6;8
04-04-2021;94;23;6;3
05-04-2021;22;0;2;1
06-04-2021;0;1;0;0
